Restaurantid,Hoursweekdays,Hourssaturday,Hourssunday,Parking,Payment,Cuisine,Latitude,Longitude,TheGeomMeter,Name,City,State,Country,Alcohol,SmokingArea,DressCode,Accessibility,Price,Rambience,Franchise,Area,OtherServices
135109,08:00-21:00;,08:00-21:00;,08:00-21:00;,none,cash,Italian,18.9217848,-99.2353499,0101000020957F0000A6BF695F136F5AC1DADF87B205564A41,Paniroles,Cuernavaca,Morelos,Mexico,wine_beer,not_permitted,informal,no_accessibility,medium,quiet,False,closed,internet
132630,00:00-23:30;,00:00-23:30;,00:00-23:30;,none,bank_debit_cards/carte_blanche/cash/mastercard_eurocard/visa,Mexican,23.7529305,-99.1644725,0101000020957F000047206572DE8157C1D3315028254E4941,Palomo Tec,Ciudad Victoria,Tamaulipas,Mexico,no_alcohol_served,none,informal,completely,low,familiar,False,closed,none
132626,00:00-23:30;,00:00-23:30;,00:00-23:30;,yes,american_express/cash,Italian,23.7375834,-99.1351318,0101000020957F0000AA7883ADD88457C1FA651328BA464941,La Perica Hamburguesa,Ciudad Victoria,Tamaulipas,Mexico,no_alcohol_served,none,informal,completely,medium,familiar,True,closed,none
132613,08:00-16:00;,07:00-16:00;,07:00-16:00;,yes,cash,Mexican,23.7529035,-99.165076,0101000020957F00008EBA2D06DC8157C194E03B7B504E4941,Carnitas_Mata,Ciudad Victoria,Tamaulipas,Mexico,no_alcohol_served,permitted,informal,completely,medium,familiar,True,closed,none
132609,12:00-18:00;,10:00-18:00;,00:00-23:30;,yes,cash,Fast_Food,23.7602683,-99.1658646,0101000020957F0000A478418BBA8057C133851EB22C4E4941,Pollo_Frito_Buenos_Aires,Ciudad Victoria,Tamaulipas,Mexico,no_alcohol_served,not_permitted,informal,completely,low,quiet,True,closed,none
132608,19:00-02:00;,19:00-02:00;,19:00-02:00;,public,cash,Mexican,23.7588052,-99.1651297,0101000020957F0000A15C8F5FF78057C1C93CEA9E0A4E4941,Hamburguesas La Perica,Ciudad Victoria,Tamaulipas,Mexico,no_alcohol_served,permitted,informal,completely,low,quiet,True,open,none
132594,09:30-23:30;,09:00-23:30;,09:00-23:30;,public,cash,Mexican,23.7521677,-99.165709,0101000020957F00003AE4C6DBF48157C1CE38ECC1864E4941,Tacos De Barbacoa Enfrente Del Tec,Ciudad Victoria,Tamaulipas,Mexico,no_alcohol_served,not_permitted,informal,completely,low,familiar,False,open,none
132584,08:30-20:00;,09:00-22:00;,09:00-20:30;,yes,cash,Mexican,23.7523648,-99.1652879,0101000020957F000048C65BA7EF8157C177F2344D664E4941,Gorditas Dona Tota,Ciudad Victoria,Tamaulipas,Mexico,no_alcohol_served,not_permitted,informal,completely,medium,familiar,True,closed,none
132583,08:30-20:00;,12:00-23:30;,16:00-23:30;,none,bank_debit_cards/cash/mastercard_eurocard/visa,American,18.9222904,-99.234332,0101000020957F0000FBE7171F056F5AC1E8A6C0A5AF554A41,Mcdonalds Centro,Cuernavaca,Morelos,Mexico,no_alcohol_served,not_permitted,informal,partially,low,familiar,True,closed,none
132572,00:00-23:30;,00:00-23:30;,00:00-23:30;,yes,cash,Cafeteria,22.1416471,-100.9927118,0101000020957F00005D19BF45294958C18FF7F8E260A84B41,Cafe Chaires,San Luis Potosi,San Luis Potosi,Mexico,no_alcohol_served,not_permitted,informal,completely,low,familiar,False,closed,none
132560,08:00-12:00;,00:00-00:00;,00:00-00:00;,public,cash,Regional,23.7523041,-99.1669133,0101000020957F0000FC60BDA8E88157C1B2C357D6DA4E4941,Puesto De Gorditas,Ciudad Victoria,Tamaulipas,Mexico,no_alcohol_served,permitted,informal,no_accessibility,low,familiar,False,open,none
135082,12:00-23:00;,10:00-18:00;,10:00-18:00;,none,cash,Mexican,22.151448,-100.915099,0101000020957F0000A29FAF95CD4958C1FEEEBB73A9914B41,La Estrella De Dimas,San Luis Potosi,San Luis Potosi,Mexico,no_alcohol_served,none,informal,no_accessibility,medium,familiar,False,closed,none
135081,11:00-23:00;,14:00-23:30;,14:00-23:30;,none,cash/mastercard_eurocard/visa,Bar,22.164842,-100.960493,0101000020957F00006ADAD289804658C168CABB6BD09D4B41,El Club,San Luis Potosi,San Luis Potosi,Mexico,no_alcohol_served,none,informal,no_accessibility,medium,familiar,False,closed,none
135080,10:00-18:00;,14:00-23:30;,14:00-23:30;,none,american_express/cash/mastercard_eurocard/visa,Mexican,22.145008,-100.997969,0101000020957F000033331E4B804858C166643087ADA94B41,Los Toneles,San Luis Potosi,San Luis Potosi,Mexico,no_alcohol_served,section,informal,no_accessibility,high,familiar,False,closed,none
135076,14:00-20:00;,12:00-23:30;,12:00-23:30;,yes,american_express/cash/mastercard_eurocard/visa,"Mexican, Family",22.181017,-100.973614,0101000020957F00005657121FAA4358C1A8030D5598A04B41,Restaurante Pueblo Bonito,San Luis Potosi,San Luis Potosi,Mexico,wine_beer,none,informal,no_accessibility,high,familiar,False,closed,none
135070,06:00-18:00;,07:00-23:00;,07:00-23:00;,yes,cash,Mexican,22.152918,-100.915164,0101000020957F0000ED435B84934958C1B3CF85FA97914B41,Restaurante 75,San Luis Potosi,San Luis Potosi,Mexico,no_alcohol_served,none,informal,no_accessibility,medium,familiar,False,closed,none
135066,12:00-23:30;,07:00-23:00;,07:00-23:00;,yes,cash/mastercard_eurocard/visa,Mexican,22.16835,-100.972466,0101000020957F000013696871A24558C11EE432FB04A14B41,Restaurante Guerra,San Luis Potosi,San Luis Potosi,Mexico,wine_beer,section,informal,no_accessibility,high,familiar,False,closed,none
135065,12:00-23:00;,14:00-23:30;,14:00-18:00;,none,american_express/cash/mastercard_eurocard/visa,Mexican,22.14958,-100.999557,0101000020957F000094A6A8E3C14758C17435E6D1DBA94B41,El Angel Restaurante,San Luis Potosi,San Luis Potosi,Mexico,wine_beer,section,informal,no_accessibility,high,familiar,False,closed,none
135064,07:00-23:00;,07:00-22:30;,07:00-22:30;,yes,cash/mastercard_eurocard/visa,Mexican,22.154687,-100.996617,0101000020957F0000245028A70E4758C18E383571B7A84B41,Restaurante El Chivero S.A. De C.V.,San Luis Potosi,San Luis Potosi,Mexico,no_alcohol_served,none,informal,no_accessibility,high,familiar,False,closed,none
135063,14:00-23:30;,08:30-19:30;,09:00-15:00;,none,cash,Mexican,22.156724,-100.975556,0101000020957F000054B1A10F544758C15BD6A12797A24B41,Restaurante Alhondiga,San Luis Potosi,San Luis Potosi,Mexico,no_alcohol_served,none,informal,no_accessibility,medium,familiar,False,closed,none
135062,07:00-22:30;,00:00-23:30;,00:00-23:30;,yes,cash,Mexican,22.153703,-100.979033,0101000020957F0000D177B9CFB14758C162A211E1C2A34B41,Restaurante El Cielo Potosino,San Luis Potosi,San Luis Potosi,Mexico,no_alcohol_served,none,informal,no_accessibility,medium,familiar,False,closed,none
135051,08:30-19:30;,08:00-23:30;,00:00-00:00;,none,cash,Mexican,22.151189,-100.977058,0101000020957F0000D6537C4C224858C1DED7F6EB58A34B41,Restaurante Versalles,San Luis Potosi,San Luis Potosi,Mexico,no_alcohol_served,section,informal,no_accessibility,low,familiar,False,closed,none
135050,00:00-23:30;,12:00-19:30;,12:00-19:30;,yes,american_express/cash/mastercard_eurocard/visa,Mexican,22.174887,-100.970825,0101000020957F0000FD78FFF7AD4458C1896A33F029A04B41,Restaurante La Estrella De Dima,Soledad,San Luis Potosi,Mexico,wine_beer,none,informal,no_accessibility,high,familiar,False,closed,none
135047,08:00-23:30;,08:00-23:30;,08:00-22:00;,yes,cash/mastercard_eurocard/visa,Mexican,22.150921,-100.993828,0101000020957F00009C7617FBB54758C1260D663225A84B41,Restaurante Casa De Las Flores,San Luis Potosi,San Luis Potosi,Mexico,wine_beer,section,informal,no_accessibility,high,familiar,False,closed,none
135045,12:00-19:30;,13:00-23:30;,13:00-19:00;,yes,american_express/cash/mastercard_eurocard/visa,Continental-European,22.151189,-100.98179,0101000020957F00000B6735CA004858C108FD525CB2A44B41,Restaurante La Gran Via,San Luis Potosi,San Luis Potosi,Mexico,wine_beer,none,casual,no_accessibility,high,familiar,False,closed,none
135040,08:00-23:30;,08:00-23:30;,08:00-23:30;,yes,cash/mastercard_eurocard/visa,"Mexican, Barbecue",22.135617,-100.969709,0101000020957F00001B552189B84A58C15A2AAEFD2CA24B41,Restaurant Los Compadres,San Luis Potosi,San Luis Potosi,Mexico,wine_beer,none,informal,no_accessibility,high,familiar,False,closed,none
135038,13:00-23:30;,08:00-17:00;,00:00-00:00;,none,cash,Mexican,22.155651,-100.977767,0101000020957F0000506149736E4758C1A8BC93DA48A34B41,Restaurant La Chalita,San Luis Potosi,San Luis Potosi,Mexico,no_alcohol_served,section,informal,no_accessibility,medium,familiar,False,closed,none
135033,08:00-23:30;,09:00-21:00;,09:00-21:00;,none,american_express/cash/mastercard_eurocard/visa,"Mexican, Bar_Pub_Brewery",22.14161,-100.973142,0101000020957F00000F624C60B54958C11757339BCCA24B41,Restaurant El Muladar De Calzada,San Luis Potosi,San Luis Potosi,Mexico,no_alcohol_served,section,informal,no_accessibility,medium,familiar,False,closed,none
135016,00:00-00:00;,00:00-00:00;,00:00-00:00;,none,cash,"Barbecue, Steaks",18.869347,-99.209944,0101000020957F0000FC8866CF17785AC14CD7055B02514A41,Arrachela Grill,Cuernavaca,Morelos,Mexico,no_alcohol_served,none,informal,no_accessibility,medium,familiar,False,closed,none
135013,00:00-00:00;,00:00-00:00;,00:00-00:00;,none,cash,Italian,18.917441,-99.165945,0101000020957F0000D241E94E7B715AC119862B3B1E414A41,Giovannis,Jiutepec,Morelos,Mexico,no_alcohol_served,none,informal,no_accessibility,low,familiar,False,closed,none
135011,13:00-22:00;,00:00-00:00;,00:00-00:00;,none,cash,"Mexican, Bar_Pub_Brewery",18.91061,-99.169539,0101000020957F0000A68C31737C725AC1A6E234AE90424A41,Los Vikingos,Jiutepec,Morelos,Mexico,no_alcohol_served,none,informal,no_accessibility,medium,familiar,True,closed,none
135001,00:00-00:00;,07:00-23:30;,07:00-23:30;,yes,american_express/cash/mastercard_eurocard/visa,"Family, Mexican, Breakfast-Brunch",18.941859,-99.241927,0101000020957F0000429477F3B36B5AC1D65C45CAFA564A41,Vips,Cuernavaca,Morelos,Mexico,wine_beer,none,informal,completely,medium,familiar,True,closed,none
135000,12:30-20:30;,07:30-18:00;,07:30-18:00;,none,cash,Mexican,18.870565,-99.226938,0101000020957F00001CCDD2577A775AC1D25FB8BA1F564A41,Restaurant Los Pinos,Cuernavaca,Morelos,Mexico,no_alcohol_served,none,informal,no_accessibility,medium,familiar,False,closed,none
134996,07:30-18:00;,07:00-23:00;,07:00-23:00;,yes,cash,"Mexican, Family, Breakfast-Brunch",18.923429,-99.216413,0101000020957F0000340233E7476F5AC132844E2A2C504A41,Sanborns Casa Piedra,Cuernavaca,Morelos,Mexico,wine_beer,only_at_bar,informal,no_accessibility,medium,familiar,True,closed,internet
134992,07:00-23:00;,08:00-21:30;,00:00-00:00;,yes,cash/mastercard_eurocard/visa,Mexican,18.936683,-99.247366,0101000020957F0000FC799354656C5AC1233FCC70E7584A41,Restaurant Teely,Cuernavaca,Morelos,Mexico,wine_beer,section,casual,no_accessibility,high,familiar,False,closed,none
134987,08:00-21:30;,12:00-23:30;,12:00-22:00;,none,cash,"American, Tex-Mex",18.932725,-99.225211,0101000020957F0000FE987FAF936D5AC1E1D486215E524A41,Chilis Cuernavaca,Cuernavaca,Morelos,Mexico,wine_beer,none,informal,no_accessibility,medium,familiar,False,closed,none
134975,14:00-22:00;,08:00-23:30;,08:00-20:00;,valet parking,cash/discover/mastercard_eurocard/visa,"Steaks, Mexican",18.940828,-99.215426,0101000020957F000076F426DC856C5AC1CB520721F84E4A41,Rincon Del Bife,Cuernavaca,Morelos,Mexico,full_bar,section,informal,completely,high,familiar,False,closed,variety
132847,14:00-21:00;,20:00-01:30;,20:00-01:30;,none,cash,"Burgers, Fast_Food",22.1443365,-100.9373825,0101000020957F00004717A23D474A58C17D1F102970984B41,Don Burguers,San Luis Potosi,San Luis Potosi,Mexico,no_alcohol_served,none,informal,no_accessibility,low,familiar,False,open,none
135108,13:30-12:00;00:00-23:30;13:30-02:00;01:30-23:00;,00:00-23:30;,00:00-23:30;,none,cash,"Mexican, Soup",22.1362534,-100.9335852,0101000020957F00008FAE40D59E4B58C112C66046D5974B41,Potzocalli,San Luis Potosí,San Luis Potosí,Mexico,no_alcohol_served,none,informal,completely,low,familiar,False,closed,none
132884,00:00-23:30;,00:00-23:30;,00:00-23:30;,none,american_express/bank_debit_cards/cash/mastercard_eurocard/visa,"Dessert-Ice_Cream, Fast_Food",22.1395776,-101.0278863,0101000020957F00001FAA108A804858C1712EE37088B24B41,Dairy Queen,San Luis Potosí,San Luis Potosí,Mexico,no_alcohol_served,none,informal,completely,low,familiar,False,closed,none
132877,00:00-23:30;,00:00-23:30;,00:00-23:30;,none,american_express/bank_debit_cards/cash/visa,"Steaks, Family",22.1353639,-100.9349477,0101000020957F000090735015B84B58C1AF0DC04146984B41,Sirloin Stockade,San Luis Potosí,San Luis Potosí,Mexico,no_alcohol_served,none,informal,completely,low,familiar,False,closed,none
132830,00:00-23:30;,00:00-23:30;,00:00-23:30;,none,cash/discover/mastercard_eurocard/visa,"Regional, Mexican",22.1508494,-100.9397522,0101000020957F0000F2E21C48374958C1C6826887BA984B41,Rincon Huasteco,San Luis Potosí,San Luis Potosí,Mexico,no_alcohol_served,none,informal,completely,low,familiar,False,closed,none
132660,00:00-23:30;,00:00-23:30;,00:00-23:30;,none,bank_debit_cards/cash/visa,"Mexican, Barbecue",23.7529428,-99.1646791,0101000020957F00003D7905C9DC8157C13FCD1AB7334E4941,Carnitas Mata Calle Emilio Portes Gil,Ciudad Victoria,Tamaulipas,Mexico,no_alcohol_served,none,informal,completely,low,familiar,False,closed,none
132654,00:00-23:30;,00:00-23:30;,00:00-23:30;,none,american_express/bank_debit_cards/cash/mastercard_eurocard/visa,"Mexican, Barbecue",23.7355234,-99.1295877,0101000020957F000040E8F628488557C18224E8B948454941,Carnitas Mata  Calle 16 De Septiembre,Ciudad Victoria,Tamaulipas,Mexico,no_alcohol_served,none,informal,completely,low,familiar,False,closed,none
132564,00:00-23:30;,00:00-23:30;,00:00-23:30;,none,american_express/checks/mastercard_eurocard/visa,"Fast_Food, American",23.7309245,-99.1451848,0101000020957F0000EA4F00C5A08557C140085474D9494941,Churchs,Ciudad Victoria,Tamaulipas,Mexico,no_alcohol_served,none,informal,completely,low,familiar,False,closed,none
132561,00:00-23:30;,00:00-23:30;,00:00-23:30;,none,cash/discover/mastercard_eurocard/visa,Cafe-Coffee_Shop,23.726819,-99.1265059,0101000020957F000004457BB7AA8657C15F10835CD9444941,Cafe Ambar,Ciudad Victoria,Tamaulipas,Mexico,no_alcohol_served,none,informal,completely,low,familiar,False,closed,none
